displacement,cylinders,horsepower,weight,acceleration,model-year,mpg
307,8,130,3504,12,70,18
350,8,165,3693,11.5,70,15
318,8,150,3436,11,70,18
304,8,150,3433,12,70,16
302,8,140,3449,10.5,70,17
429,8,198,4341,10,70,15
454,8,220,4354,9,70,14
440,8,215,4312,8.5,70,14
455,8,225,4425,10,70,14
390,8,190,3850,8.5,70,15
383,8,170,3563,10,70,15
340,8,160,3609,8,70,14
400,8,150,3761,9.5,70,15
455,8,225,3086,10,70,14
113,4,95,2372,15,70,24
198,6,95,2833,15.5,70,22
199,6,97,2774,15.5,70,18
200,6,85,2587,16,70,21
97,4,88,2130,14.5,70,27
97,4,46,1835,20.5,70,26
110,4,87,2672,17.5,70,25
107,4,90,2430,14.5,70,24
104,4,95,2375,17.5,70,25
121,4,113,2234,12.5,70,26
199,6,90,2648,15,70,21
360,8,215,4615,14,70,10
307,8,200,4376,15,70,10
318,8,210,4382,13.5,70,11
304,8,193,4732,18.5,70,9
97,4,88,2130,14.5,71,27
140,4,90,2264,15.5,71,28
113,4,95,2228,14,71,25
98,4,,2046,19,71,25
232,6,100,2634,13,71,19
225,6,105,3439,15.5,71,16
250,6,100,3329,15.5,71,17
250,6,88,3302,15.5,71,19
232,6,100,3288,15.5,71,18
350,8,165,4209,12,71,14
400,8,175,4464,11.5,71,14
351,8,153,4154,13.5,71,14
318,8,150,4096,13,71,14
383,8,180,4955,11.5,71,12
400,8,170,4746,12,71,13
400,8,175,5140,12,71,13
258,6,110,2962,13.5,71,18
140,4,72,2408,19,71,22
250,6,100,3282,15,71,19
250,6,88,3139,14.5,71,18
122,4,86,2220,14,71,23
116,4,90,2123,14,71,28
79,4,70,2074,19.5,71,30
88,4,76,2065,14.5,71,30
71,4,65,1773,19,71,31
72,4,69,1613,18,71,35
97,4,60,1834,19,71,27
91,4,70,1955,20.5,71,26
113,4,95,2278,15.5,72,24
97.5,4,80,2126,17,72,25
97,4,54,2254,23.5,72,23
140,4,90,2408,19.5,72,20
122,4,86,2226,16.5,72,21
350,8,165,4274,12,72,13
400,8,175,4385,12,72,14
318,8,150,4135,13.5,72,15
351,8,153,4129,13,72,14
304,8,150,3672,11.5,72,17
429,8,208,4633,11,72,11
350,8,155,4502,13.5,72,13
350,8,160,4456,13.5,72,12
400,8,190,4422,12.5,72,13
70,3,97,2330,13.5,72,19
304,8,150,3892,12.5,72,15
307,8,130,4098,14,72,13
302,8,140,4294,16,72,13
318,8,150,4077,14,72,14
121,4,112,2933,14.5,72,18
121,4,76,2511,18,72,22
120,4,87,2979,19.5,72,21
96,4,69,2189,18,72,26
122,4,86,2395,16,72,22
97,4,92,2288,17,72,28
120,4,97,2506,14.5,72,23
98,4,80,2164,15,72,28
97,4,88,2100,16.5,72,27
350,8,175,4100,13,73,13
304,8,150,3672,11.5,73,14
350,8,145,3988,13,73,13
302,8,137,4042,14.5,73,14
318,8,150,3777,12.5,73,15
429,8,198,4952,11.5,73,12
400,8,150,4464,12,73,13
351,8,158,4363,13,73,13
318,8,150,4237,14.5,73,14
440,8,215,4735,11,73,13
455,8,225,4951,11,73,12
360,8,175,3821,11,73,13
225,6,105,3121,16.5,73,18
250,6,100,3278,18,73,16
232,6,100,2945,16,73,18
250,6,88,3021,16.5,73,18
198,6,95,2904,16,73,23
97,4,46,1950,21,73,26
400,8,150,4997,14,73,11
400,8,167,4906,12.5,73,12
360,8,170,4654,13,73,13
350,8,180,4499,12.5,73,12
232,6,100,2789,15,73,18
97,4,88,2279,19,73,20
140,4,72,2401,19.5,73,21
108,4,94,2379,16.5,73,22
70,3,90,2124,13.5,73,18
122,4,85,2310,18.5,73,19
155,6,107,2472,14,73,21
98,4,90,2265,15.5,73,26
350,8,145,4082,13,73,15
