Comments,Ratings,Genre,Gross,Budget,Screens,Sequel,Sentiment,Views,Likes,Dislikes,Aggregate Followers
636,6.3,8,9130,4000000,45,1,0,3280543,4632,425,1120000
186,7.1,1,192000000,50000000,3306,2,2,583289,3465,61,12350000
47,6.2,1,30700000,28000000,2872,1,0,304861,328,34,483000
590,6.3,1,106000000,110000000,3470,2,0,452917,2429,132,568000
1082,4.7,8,17300000,3500000,2310,2,0,3145573,12163,610,1923800
1,4.6,3,29000,500000,,1,0,91137,112,7,310000
1020,6.1,8,42600000,40000000,3158,1,0,3013011,9595,419,8153000
593,7.1,1,5750000,20000000,818,1,2,1854103,2207,197,130655
382,6.5,10,26000000,28000000,2714,1,3,2213659,2210,419,125646
770,6.1,8,48600000,12500000,2253,1,0,5218079,11709,532,21697300
3134,7.3,1,350000000,58800000,3555,1,4,3927600,13143,573,24300
70,5.7,8,15200000,30000000,1762,1,0,519327,963,94,386400
4392,5.4,15,84300000,6500000,3185,1,0,19032902,38810,4382,19420105
1484,5.2,8,85900000,65000000,3116,1,0,930006,5150,707,5130800
39,4.4,3,830000,5000000,65,3,0,595194,85,36,15112
460,6.6,8,11800,6000000,18,1,2,3915978,6983,247,253000
182,6.3,8,72300,5000000,25,1,0,1391527,2479,146,1658900
685,6.9,3,14600000,7000000,31,1,0,1828235,7633,235,116100
1293,7.9,12,222000000,165000000,3761,1,29,4700023,14163,538,199800
1033,6.6,3,21600000,9000000,1823,1,-1,1348142,4404,307,888000
2214,6.5,8,46300000,40000000,3555,1,-2,7977747,18690,1940,2417000
741,8,3,25400000,4000000,771,1,9,1671367,4572,207,105000
1235,5.7,1,20300000,28000000,2647,1,0,2088644,6633,255,3209000
1150,6.5,3,1870000,7000000,482,1,2,4398243,9202,454,4769100
0,7,3,9840,1000000,,1,3,7128,1,0,2182
2296,6.7,9,6370000,3000000,382,1,3,2902492,9522,558,
837,7.8,1,260000000,170000000,3938,2,5,760262,2918,66,8030000
889,7.7,1,209000000,170000000,3967,2,-4,1735700,6772,187,114000
162,6.2,10,30500000,30000000,97,1,0,465219,1348,72,744600
729,4,15,15800000,7000000,2544,1,0,1844690,3728,581,9536
987,6.8,2,151000000,85000000,3936,1,-4,463866,3400,152,1030000
228,6.4,3,42000000,36000000,3376,2,-1,384448,1230,129,276750
5278,6.3,1,55900000,70000000,,1,0,9149892,26427,1342,395500
227,6.8,3,28800000,27000000,2781,1,0,522630,1248,153,147000
1122,5.8,8,86200000,35000000,3154,3,0,3287020,7698,446,17064000
643,5.8,2,38900000,13000000,3230,1,0,1488038,2571,553,88586
6439,7.9,1,100000000,178000000,3490,1,0,15568277,29251,1730,5610000
2577,6.3,3,23400000,20000000,2800,1,1,11850723,24226,1343,21500
92,5.7,1,8690,4500000,,1,0,735551,636,98,1060000
1580,7.1,9,1210000,24000000,66,1,6,6685088,8369,467,13720000
1286,7.6,1,85700000,68000000,3313,1,3,2276605,3946,331,1888000
374,6.4,3,102000,1850000,8,1,-4,1034480,6490,181,66600
890,5,3,60800000,2000000,780,1,0,456564,1706,413,412000
12,6.1,10,104000,1000000,3,1,0,99427,47,10,
547,6.5,1,201000000,160000000,3952,1,2,1156609,2968,112,1870000
342,8.2,3,168000000,61000000,3014,1,-11,396010,1390,58,20640000
1285,8.1,1,333000000,170000000,4080,1,0,1313548,8567,269,2750000
132,5.6,8,30100,70000,9,1,0,924347,1406,107,5887700
133,5.8,3,91400000,12000000,2417,1,-9,175017,461,34,
3925,6.1,1,72700000,100000000,3595,1,-2,9324678,15479,1130,9414000
362,6.3,8,54400000,42000000,93,2,-1,1292235,5284,124,1650000
2863,7.9,12,177000000,145000000,4253,2,3,11472161,22779,862,671000
3609,6.8,3,50500000,11000000,1272,1,14,9222933,41728,924,1800000
