a,b,c,d,e,f
0.11,0.125,0.568,4.78,3.99,3.17
0.27,0.15,0.568,4.78,3.99,3.17
0.47,0.175,0.568,4.78,3.99,3.17
0.78,0.2,0.568,4.78,3.99,3.17
1.18,0.225,0.568,4.78,3.99,3.17
1.82,0.25,0.568,4.78,3.99,3.17
2.61,0.275,0.568,4.78,3.99,3.17
3.76,0.3,0.568,4.78,3.99,3.17
4.99,0.325,0.568,4.78,3.99,3.17
7.16,0.35,0.568,4.78,3.99,3.17
11.93,0.375,0.568,4.78,3.99,3.17
20.11,0.4,0.568,4.78,3.99,3.17
32.75,0.425,0.568,4.78,3.99,3.17
49.49,0.45,0.568,4.78,3.99,3.17
0.04,0.125,0.569,4.78,3.04,3.64
0.17,0.15,0.569,4.78,3.04,3.64
0.37,0.175,0.569,4.78,3.04,3.64
0.66,0.2,0.569,4.78,3.04,3.64
1.06,0.225,0.569,4.78,3.04,3.64
1.59,0.25,0.569,4.78,3.04,3.64
2.33,0.275,0.569,4.78,3.04,3.64
3.29,0.3,0.569,4.78,3.04,3.64
4.61,0.325,0.569,4.78,3.04,3.64
7.11,0.35,0.569,4.78,3.04,3.64
11.99,0.375,0.569,4.78,3.04,3.64
21.09,0.4,0.569,4.78,3.04,3.64
35.01,0.425,0.569,4.78,3.04,3.64
51.8,0.45,0.569,4.78,3.04,3.64
0.09,0.125,0.565,4.78,5.35,2.76
0.29,0.15,0.565,4.78,5.35,2.76
0.56,0.175,0.565,4.78,5.35,2.76
0.86,0.2,0.565,4.78,5.35,2.76
1.31,0.225,0.565,4.78,5.35,2.76
1.99,0.25,0.565,4.78,5.35,2.76
2.94,0.275,0.565,4.78,5.35,2.76
4.21,0.3,0.565,4.78,5.35,2.76
5.54,0.325,0.565,4.78,5.35,2.76
8.25,0.35,0.565,4.78,5.35,2.76
13.08,0.375,0.565,4.78,5.35,2.76
21.4,0.4,0.565,4.78,5.35,2.76
33.14,0.425,0.565,4.78,5.35,2.76
50.14,0.45,0.565,4.78,5.35,2.76
0.2,0.125,0.564,5.1,3.95,3.53
0.35,0.15,0.564,5.1,3.95,3.53
0.65,0.175,0.564,5.1,3.95,3.53
0.93,0.2,0.564,5.1,3.95,3.53
1.37,0.225,0.564,5.1,3.95,3.53
